# Normal ZFS,Data Node 0,,,,,
# Program Node 0,,,Old Runtime,1,2,3
,,250M,0.046333333,0.043,0.046,0.05
,,500M,0.093,0.092,0.096,0.091
,,1G,0.374666667,0.377,0.381,0.366
,,2G,0.702333333,0.706,0.705,0.696
,,4G,1.351,1.341,1.358,1.354
,,8G,2.7,2.677,2.744,2.679
,,16G,5.396333333,5.375,5.369,5.445
,,,,,,
# Program Node 1,,,Old Runtime,1,2,3
,,250M,0.049333333,0.049,0.052,0.047
,,500M,0.087333333,0.09,0.085,0.087
,,1G,0.380333333,0.381,0.381,0.379
,,2G,0.754333333,0.763,0.751,0.749
,,4G,1.539,1.57,1.518,1.529
,,8G,3.075333333,3.079,3.041,3.106
,,16G,6.235,6.267,6.282,6.156
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
