procsize	250M	500M	1G	2G	4G	8G	16G
1M	-7.10	-14.69	4.12	14.73	12.18	7.06	10.85
2M	-1.79	-5.48	7.69	6.65	15.86	11.00	11.08
4M	-11.05	2.08	9.92	9.17	10.02	9.41	11.34
8M	-4.13	-1.50	10.35	6.24	5.21	11.74	11.24
16M	-6.83	-1.42	8.51	13.46	7.42	8.42	14.20
32M	1.47	-3.32	1.28	-0.86	9.63	12.98	8.00
64M	-0.29	-0.85	4.20	8.99	3.75	13.10	8.30
128M	-3.01	-2.18	6.65	5.61	3.57	11.06	7.69
256M	-0.48	0.96	2.55	4.40	6.63	8.39	7.00
512M	-1.79	0.51	1.68	2.30	3.77	5.48	0.00
1G	-0.93	0.72	-0.20	1.95	4.86	2.07	5.48
