0	250M	500M	1G	2G	4G	8G	16G
1K	-8.87%	-9.56%	-5.64%	16.47%	16.55%	14.66%	13.49%
2K	-9.33%	-6.29%	-3.85%	13.37%	14.67%	15.68%	14.92%
4K	-8.32%	-5.65%	-2.77%	10.86%	12.53%	10.55%	14.32%
8K	-12.44%	-2.00%	-4.68%	18.55%	15.01%	17.18%	18.71%
16K	-3.43%	-4.58%	-1.25%	16.06%	14.18%	14.52%	22.38%
32K	-5.76%	-14.68%	-1.14%	14.85%	10.88%	12.36%	13.39%
64K	-10.12%	9.91%	14.97%	14.68%	13.84%	14.02%	12.58%
128K	-9.81%	-10.97%	12.76%	10.13%	7.71%	13.94%	15.21%
256K	-7.31%	-6.72%	16.28%	9.42%	12.08%	9.98%	8.08%
512K	6.00%	5.98%	8.60%	12.43%	10.76%	13.73%	12.81%
1M	0.00%	-7.29%	15.03%	17.66%	14.10%	13.66%	14.20%
2M	-0.73%	-7.16%	10.36%	14.04%	14.48%	11.39%	11.47%
4M	-6.52%	0.00%	11.41%	7.36%	8.65%	11.98%	9.01%
8M	-4.05%	0.71%	9.56%	6.73%	8.56%	10.09%	7.93%
